chr	start	end	body_CpG_count	up_CpG_count	down_CpG_count	body_meth	up_meth	down_meth
chr1	181210	181448	40	38	75	93.7	86.2	78.0
chr1	1076350	1076497	5	66	102	55.6	64.8	71.7
chr1	1139350	1139593	8	67	79	65.4	61.0	80.5
chr1	1139875	1140240	13	65	85	68.8	81.3	77.1
chr1	1288300	1288373	8	113	203	93.4	80.9	90.1
chr1	1288543	1289312	82	130	139	94.1	83.4	85.9
chr1	1289592	1289846	28	179	110	94.3	89.7	78.0
chr1	1934989	1935583	27	62	56	90.0	87.8	80.8
chr1	2106692	2106808	5	67	90	68.0	73.7	65.9
chr1	2123837	2123941	11	112	104	99.4	95.9	93.6
chr1	2124042	2124116	13	122	88	99.6	96.4	92.2
chr1	2280720	2280806	7	72	166	99.0	81.0	98.8
chr1	2281395	2281566	13	120	113	99.4	93.5	99.0
chr1	2669928	2670489	14	50	49	22.6	35.0	36.8
chr1	2750126	2750607	14	44	49	11.2	22.0	20.5
chr1	2750729	2753417	68	47	50	16.7	18.4	10.8
chr1	2762075	2762233	6	48	28	11.0	29.8	26.3
chr1	3800438	3800587	6	24	28	99.2	92.6	31.5
chr1	3892303	3892532	13	72	48	99.4	86.4	92.3
chr1	3999762	3999879	5	51	55	54.5	61.3	60.9
chr1	4065805	4066364	8	22	20	92.2	85.5	70.5
chr1	6012277	6012520	5	37	46	92.1	93.0	78.9
chr1	7864891	7865112	6	48	48	84.2	73.6	76.8
chr1	10744344	10744511	7	44	54	40.4	59.8	60.8
chr1	14110577	14112443	24	19	23	66.9	52.0	42.9
chr1	14331214	14331989	7	7	12	88.3	31.1	52.0
chr1	16744928	16746691	12	14	20	51.3	65.6	66.0
chr1	16950111	16950404	7	49	44	72.7	69.2	47.5
chr1	17241451	17241594	7	34	37	57.3	72.1	68.1
chr1	18604849	18604924	5	39	51	96.1	62.6	69.9
chr1	21459925	21460196	21	19	21	95.7	71.0	70.6
chr1	23993614	23993987	39	68	105	95.3	87.2	87.7
chr1	23993662	23993807	17	70	119	94.2	87.5	89.4
chr1	24076495	24076811	23	31	42	91.1	63.5	70.2
chr1	24478046	24480949	47	26	33	91.0	79.7	64.1
chr1	26163321	26163646	24	149	100	71.9	30.9	28.3
chr1	27477601	27477929	24	16	34	84.4	63.3	52.7
chr1	30567797	30568811	10	9	17	71.0	61.8	53.1
chr1	31176905	31177031	12	91	28	93.5	89.8	62.5
chr1	32974280	32974406	10	96	124	98.7	39.0	94.3
chr1	36267649	36267873	5	23	28	99.0	93.4	99.0
chr1	36958133	36958417	7	38	27	30.6	35.2	36.8
chr1	36958604	36960146	18	39	33	37.4	30.2	44.8
chr1	38618549	38620152	16	16	19	61.8	51.8	74.7
chr1	42166805	42167123	8	42	37	96.1	79.7	89.7
chr1	43106314	43107074	17	11	40	82.1	68.9	76.2
chr1	45900435	45900763	23	12	14	99.2	99.1	93.9
chr1	55663724	55663816	7	31	15	97.5	89.4	97.8
chr1	56365434	56369288	31	10	20	65.3	59.5	69.6
chr1	56422030	56422346	24	18	9	86.3	77.3	45.3
chr1	57877539	57877862	23	18	11	86.5	50.1	52.2
chr1	58552311	58552562	6	20	16	87.0	75.4	48.8
chr1	58593944	58594268	24	9	19	91.1	54.6	85.4
chr1	61647741	61653847	55	8	62	76.4	66.1	88.0
chr1	61924914	61925262	23	19	8	90.8	91.5	93.6
chr1	65670034	65670363	18	5	11	87.8	68.3	73.8
chr1	65798226	65798558	26	23	4	91.2	68.8	76.7
chr1	69478032	69478337	22	28	3	90.0	78.6	37.6
